sentiments,corrected_review,corrected_review_length,review_score
positive,fits my hand perfectly ,4,5.0
neutral,i have malbrook and it would not connect have charged the mouse for hours and still will not connect ,19,2.0
positive,very nice responsive,3,1.0
positive,this is nice streamlined mouse it is responsive and rolls smoothly,11,1.0
positive,i like the size and how easy it is to use,11,1.0
positive,just great item,3,5.0
positive,works wonderful,2,5.0
neutral,good product,2,5.0
positive,love that its rechargable and the led lights ,8,4.0
neutral,mouse works good,3,4.0
neutral,this mouse doesn work well at all ve had it about months and the mouse doesn respond it drags and is not worth the money paid for it ,28,5.0
negative,i bought of this product for myself and my family all stopped strolling just like that when my first one went bad borrowed my daughter and that stopped strolling so did the other and we only had them for little over month when they stopped working there appears to be major defect in this product ,55,4.0
positive,i love this mouse the slim designer color and quick easy to charge,13,5.0
neutral,it very slow at connecting that one click on sometimes you have to tap few times to get it to connect ,21,5.0
positive,roller will not work the mouse won stroll seems to be very common it never worked ,16,2.0
neutral,unfortunately was in hurry when bought this and didn take the time to read the other reviews hopefully you re taking the time to read them got it and it never even turned on made sure was doing everything right and even got my dad to look too but it wouldn charge the light would turn on when plugged it in for few minutes and then turn off it looks like other people had this issue but few weeks into using it so at least it broke in time for me to return still haste,95,1.0
